! RTYPE definitions:
! 1 -> unimolecular reaction
! 2 -> bimolecular neutral-neutral reaction
! 3 -> termolecular neutral-neutral-neutral reaction
! 4 -> Dissociative recombination
! 5 -> Ionization by energetic ion
! 6 -> Ion-Ion charge recombination
! 7 -> Neutral-electron anion formation
! 8 -> Excitation by an energetic ion
!R1   R2    P1    P2   P3  \alpha      \beta        \gamma    , RTYPE, SOURCE
O   , CRP , O+  , e  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 5, Shingledecker&Herbst2017
O2  , CRP , O2+ , e  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 5, Fueki&Magee1963
O2  , CRP , O2+ , e  , O*, 1.0000E+00, +0.0000E+00, 0.0000E+00, 5, Fueki&Magee1963
O3  , CRP , O3+ , e  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 5, Shingledecker&Herbst2017
O3  , CRP , O2+ , e  , O*, 1.0000E+00, +0.0000E+00, 0.0000E+00, 5, Shingledecker&Herbst2017
O*  , CRP , O+  , e  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 5, Shingledecker&Herbst2017
O2* , CRP , O2+ , e  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 5, Fueki&Magee1963
O2* , CRP , O2+ , e  , O*, 1.0000E+00, +0.0000E+00, 0.0000E+00, 5, Shingledecker&Herbst2017
O3* , CRP , O3+ , e  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 5, Shingledecker&Herbst2017
O3* , CRP , O2+ , e  , O*, 1.0000E+00, +0.0000E+00, 0.0000E+00, 5, Shingledecker&Herbst2017
O   , *   , O*  , 0  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 8, Shingledecker&Herbst2017
O2  , *   , O2* , 0  , 0 , 0.5000E+00, +0.0000E+00, 0.0000E+00, 8, Fueki&Magee1963
!O2  , *   , O   , O  , 0 , 0.5000E+00, +0.0000E+00, 0.0000E+00, 8, Fueki&Magee1963
O3  , *   , O3* , 0  , 0 , 0.5000E+00, +0.0000E+00, 0.0000E+00, 8, Shingledecker&Herbst2017
!O3  , *   , O2  , O  , 0 , 0.5000E+00, +0.0000E+00, 0.0000E+00, 8, Shingledecker&Herbst2017
O*  , *   , O*  , 0  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 8, Shingledecker&Herbst2017
O2* , *   , O*  , O* , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 8, Shingledecker&Herbst2017
O3* , *   , O2* , O* , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 8, Shingledecker&Herbst2017
O   , e   , O-  , 0  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 7, Shingledecker&Herbst2017
O2  , e   , O2- , 0  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 7, Fueki&Magee1963
O3  , e   , O3- , 0  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 7, Shingledecker&Herbst2017
O*  , e   , O-  , 0  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 7, Shingledecker&Herbst2017
O2* , e   , O2- , 0  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 7, Shingledecker&Herbst2017
O3* , e   , O3- , 0  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 7, Shingledecker&Herbst2017
O+  , e   , O*  , 0  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 4, Shingledecker&Herbst2017
O2+ , e   , O*  , O* , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 4, Shingledecker&Herbst2017
